date,daily_score,isPartial,keyword
2019-05-13,5,False,Call of Duty: Modern Warfare
2019-05-14,3,False,Call of Duty: Modern Warfare
2019-05-15,5,False,Call of Duty: Modern Warfare
2019-05-16,5,False,Call of Duty: Modern Warfare
2019-05-17,5,False,Call of Duty: Modern Warfare
2019-05-18,6,False,Call of Duty: Modern Warfare
2019-05-19,7,False,Call of Duty: Modern Warfare
2019-05-20,5,False,Call of Duty: Modern Warfare
2019-05-21,7,False,Call of Duty: Modern Warfare
2019-05-22,5,False,Call of Duty: Modern Warfare
2019-05-23,4,False,Call of Duty: Modern Warfare
2019-05-24,10,False,Call of Duty: Modern Warfare
2019-05-25,10,False,Call of Duty: Modern Warfare
2019-05-26,8,False,Call of Duty: Modern Warfare
2019-05-27,7,False,Call of Duty: Modern Warfare
2019-05-28,6,False,Call of Duty: Modern Warfare
2019-05-29,10,False,Call of Duty: Modern Warfare
2019-05-30,87,False,Call of Duty: Modern Warfare
2019-05-31,100,False,Call of Duty: Modern Warfare
